Address,Location,Price,Beds,Baths,Sqft
17 Meeting Street,"Charleston, SC 29401",7800000,5 br,"4 ba, 2 Half Bath",5332
1 Cool Blow,"Charleston, SC 29403",300000,1 br,1 b,822
85 Cumberland Street UNIT #17,"Charleston, SC 29401",560000,1 br,1 b,631
1126 Carverwood Ln,"Charleston, SC 29407",269900,3 br,"1 ba, 1 Half Bath",1000
65 Cypress Street,"Charleston, SC 29403",575000,3 br,1 ba,1404
1134 Quick Rabbit,"Charleston, SC 29414",499000,4 br,"2 ba, 1 Half Bath",2135
75 Morris Street,"Charleston, SC 29403",799000,2 br,2 ba,1387
9 Hill Creek,"Charleston, SC 29412",545000,3 br,2 ba,1548
2020 Piper Drive,"Charleston, SC 29407",650000,4 br,2 ba,2046
700 Daniel Ellis Drive UNIT #10206,"Charleston, SC 29412",185000,1 br,1 b,691
100 Deerfield Drive UNIT #301,"Charleston, SC 29414",549900,3 br,3 ba,1861
349 Culver,"Charleston, SC 29407",425000,3 br,2 ba,2179
522 Risher Street,"Charleston, SC 29407",400000,3 br,2 ba,1458
2432 Quail Hollow,"Charleston, SC 29414",235000,2 br,"1 ba, 1 Half Bath",1150
7144 Windmill Creek Road,"Charleston, SC 29414",410300,4 br,"2 ba, 1 Half Bath",1955
65 Maple Street,"Charleston, SC 29403",1150000,4 br,3 ba,2275
140 Tradd Street,"Charleston, SC 29401",2495000,4 br,"3 ba, 1 Half Bath",3222
600 Bucksley Lane UNIT #308,"Charleston, SC 29492",400000,2 br,2 ba,1190
252 Gazania Way,"Charleston, SC 29414",475000,3 br,"2 ba, 1 Half Bath",2368
1199 Landsdowne Drive,"Charleston, SC 29412",469900,3 br,2 ba,1290
1854 Ashley Hall Road,"Charleston, SC 29407",550000,4 br,2 ba,1618
191 W Poplar Street,"Charleston, SC 29403",700000,4 br,4 ba,2800
335 Parkdale Drive,"Charleston, SC 29414",535000,3 br,3 ba,1749
2653 Marsh Creek Drive,"Charleston, SC 29414",775000,3 br,"2 ba, 1 Half Bath",3078
330 Concord Street UNIT 14 A,"Charleston, SC 29401",749900,1 br,"1 ba, 1 Half Bath",1121
787 Bent Hickory Road,"Charleston, SC 29414",470000,3 br,2 ba,2039
146 Simons Street,"Charleston, SC 29403",915000,3 br,2 ba,1789
100 Oyster Point Row,"Charleston, SC 29412",685000,4 br,"2 ba, 1 Half Bath",2261
5 President Place,"Charleston, SC 29403",799000,2 br,2 ba,1880
2099 Sanders House,"Charleston, SC 29492",594995,3 br,"2 ba, 1 Half Bath",2189
1345 Bresee Street,"Charleston, SC 29412",439000,3 br,2 ba,1404
1500 Swamp Fox Lane,"Charleston, SC 29412",499000,3 br,"2 ba, 1 Half Bath",1612
1547 Creek Side,"Charleston, SC 29492",1150000,4 br,"3 ba, 1 Half Bath",2988
340 Cabell Street,"Charleston, SC 29407",475000,3 br,2 ba,1628
2004 Needlegrass Lane,"Charleston, SC 29412",920000,3 br,"2 ba, 1 Half Bath",2615
1554 Bluewater Way,"Charleston, SC 29414",332500,2 br,"2 ba, 2 Half Bath",1564
130 River Landing Drive UNIT #7116,"Charleston, SC 29492",335000,1 br,1 b,640
578 Old Compass,"Charleston, SC 29492",3489000,4 br,"4 ba, 2 Half Bath",4500
13 Colonial Street,"Charleston, SC 29401",1700000,4 br,"3 ba, 1 Half Bath",2970
19 N Tracy Street,"Charleston, SC 29403",675000,3 br,2 ba,1181
664 Harbor Creek,"Charleston, SC 29412",585000,3 br,"3 ba, 1 Half Bath",1962
1119 Sea Eagle Watch,"Charleston, SC 29412",935000,3 br,"2 ba, 2 Half Bath",2450
341 Culver Avenue,"Charleston, SC 29407",380000,3 br,2 ba,1348
134 Wappoo Creek Drive,"Charleston, SC 29412",650000,2 br,"2 ba, 1 Half Bath",1942
2222 Waterfowl Lane,"Charleston, SC 29414",989990,4 br,"3 ba, 1 Half Bath",3367
13 Iron Forge,"Charleston, SC 29403",975000,3 br,"2 ba, 1 Half Bath",1806
11 Iron Forge,"Charleston, SC 29403",975000,3 br,"3 ba, 1 Half Bath",1708
9 S Hampton Drive,"Charleston, SC 29407",578000,3 br,"2 ba, 1 Half Bath",2017
1 Cool Blow Street UNIT #134,"Charleston, SC 29403",350000,2 br,1 b,822
130 Howard Mary Drive UNIT A,"Charleston, SC 29412",600000,3 br,3 ba,1664
151 Wentworth Street UNIT 1b,"Charleston, SC 29401",494900,1 br,1 b,680
1460 N Sherwood Drive,"Charleston, SC 29407",415000,2 br,2 ba,1144
878 Stiles Drive,"Charleston, SC 29412",475000,3 br,2 ba,1742
382 Race Street UNIT A,"Charleston, SC 29403",539900,2 br,1 b,848
1380 N Edgewater Drive,"Charleston, SC 29407",650000,3 br,2 ba,1341
1012 Orleans Road,"Charleston, SC 29407",384999,4 br,"2 ba, 1 Half Bath",1720
709 Hunt Club Run,"Charleston, SC 29414",537000,4 br,"3 ba, 1 Half Bath",2536
26 Water Street,"Charleston, SC 29401",2495000,3 br,"3 ba, 1 Half Bath",2476
815 Bent Hickory,"Charleston, SC 29414",399000,3 br,"2 ba, 1 Half Bath",1426
7 Wentworth Street,"Charleston, SC 29401",1375000,3 br,2 ba,1730
1546 Bluewater Way,"Charleston, SC 29414",331000,3 br,"2 ba, 2 Half Bath",1524
764 Sterling Drive,"Charleston, SC 29412",585000,4 br,2 ba,2483
121 Claret Cup Way,"Charleston, SC 29414",417000,3 br,"3 ba, 1 Half Bath",2394
2494 Etiwan Avenue UNIT J-2,"Charleston, SC 29414",219000,2 br,"1 ba, 1 Half Bat",924
150 Bee Street UNIT #310,"Charleston, SC 29401",895000,3 br,"3 ba, 1 Half Bath",2053
124 Fairbanks Oak Aly UNIT 3b,"Charleston, SC 29492",1629000,3 br,3 ba,2855
2115 Westrivers Road,"Charleston, SC 29412",595000,2 br,2 b,939
658 Harbor Creek Place UNIT #29,"Charleston, SC 29412",585000,3 br,"3 ba, 1 Half Bath",1962
20 Sheppard Street,"Charleston, SC 29403",749000,3 br,3 ba,1121
1402 Camp Road UNIT 10a,"Charleston, SC 29412",280000,3 br,2 ba,1151
235 Delahow Street,"Charleston, SC 29492",2250000,5 br,"5 ba, 1 Half Bath",4590
2143 Forest Lakes Blvd,"Charleston, SC 29414",415000,3 br,2 ba,1252
3009 Amberbrook Lane,"Charleston, SC 29414",650000,4 br,"3 ba, 1 Half Bath",2758
30 1/2 F Street,"Charleston, SC 29403",599900,3 br,2 ba,1063
33 Lockwood Drive UNIT B-12,"Charleston, SC 29401",59500,n/a ,", n/a b",760
2016 Sanders House,"Charleston, SC 29492",574995,3 br,2 ba,2091
702 E Marymount Lane,"Charleston, SC 29414",290000,2 br,2 ba,1320
193 Line Street,"Charleston, SC 29403",449000,4 br,2 ba,1410
1060 Harriman Lane,"Charleston, SC 29492",820000,4 br,"3 ba, 1 Half Bath",3443
330 Concord Street UNIT Th19,"Charleston, SC 29401",975000,2 br,"2 ba, 1 Half Bath",1670
1570 Charming Nancy,"Charleston, SC 29412",1245900,4 br,3 ba,2209
938 Trent Street,"Charleston, SC 29414",520000,4 br,"2 ba, 1 Half Bath",2292
30 Athens Court,"Charleston, SC 29403",389000,3 br,"2 ba, 1 Half Bath",1190
39 Poinsett Street,"Charleston, SC 29403",499000,4 br,2 ba,1322
8363 Coventry Court,"Charleston, SC 29420",330000,4 br,"2 ba, 1 Half Bath",1959
45 Sycamore Avenue UNIT #222,"Charleston, SC 29407",335000,3 br,2 ba,1221
109 Fulmar Place,"Charleston, SC 29414",399990,3 br,"2 ba, 1 Half Bath",1764
118 Smith Street,"Charleston, SC 29403",1150000,4 br,3 ba,2259
169 1/2 Tradd Street,"Charleston, SC 29401",965000,2 br,2 ba,1719
7035 Windmill Creek,"Charleston, SC 29414",398500,3 br,2 ba,1651
2647 Lake Myrtle,"Charleston, SC 29414",314900,3 br,"2 ba, 1 Half Bath",1574
2124 Forest Lakes,"Charleston, SC 29414",630000,5 br,3 ba,3213
121 Sea Cotton Circle,"Charleston, SC 29412",525000,4 br,2 ba,1862
449 Blue Dragonfly,"Charleston, SC 29414",439000,3 br,2 ba,1712
433 Minim Street,"Charleston, SC 29414",474500,5 br,"2 ba, 1 Half Bath",2189
700 Daniel Ellis Drive UNIT #3101,"Charleston, SC 29412",310000,3 br,2 ba,1394
"71 Vanderhorst Street UNIT A, B, C","Charleston, SC 29403",2500000,9 br,4 ba,3124
1429 Brookbank Avenue,"Charleston, SC 29412",835000,4 br,"2 ba, 1 Half Bath",2606
1501 Whitby Lane,"Charleston, SC 29414",285000,2 br,2 ba,1320
14 Gadsden Street,"Charleston, SC 29401",1795000,4 br,"3 ba, 1 Half Bath",3597
14 Logan Street,"Charleston, SC 29401",3250000,4 br,"3 ba, 1 Half Bath",3507
2366 Erskine Avenue,"Charleston, SC 29414",529000,3 br,2 ba,1814
33 Ashley Avenue,"Charleston, SC 29401",715000,2 br,"1 ba, 1 Half Bath",1334
933 Ashley Avenue,"Charleston, SC 29403",599000,2 br,1 ba,1410
145 Pier View Street UNIT #215,"Charleston, SC 29492",669000,3 br,"2 ba, 1 Half Bath",1724
14 Sallys Alley,"Charleston, SC 29407",600000,3 br,2 ba,2124
1549 S Pinebark Lane,"Charleston, SC 29407",689999,3 br,"2 ba, 1 Half Bath",2010
202 Cabrill Drive,"Charleston, SC 29414",380000,3 br,2 ba,1236
1144 Rembert Road,"Charleston, SC 29412",525000,3 br,2 ba,1567
519 Parkdale Drive UNIT E,"Charleston, SC 29414",219800,2 br,"1 ba, 1 Half Bath",1050
415 Parkdale Drive UNIT 14b,"Charleston, SC 29414",240000,3 br,"1 ba, 1 Half Bath",1106
404 Hainsworth Drive,"Charleston, SC 29414",345000,3 br,2 ba,1534
35 Society Street UNIT #1,"Charleston, SC 29401",950000,2 br,1 ba,1157
130 Martins Point,"Charleston, SC 29492",625000,3 br,"2 ba, 1 Half Bath",1917
1574 Charming Nancy,"Charleston, SC 29412",1345900,4 br,"3 ba, 1 Half Bath",2509
2044 Egret Lane,"Charleston, SC 29414",840000,4 br,"3 ba, 1 Half Bath",3479
1 Vendue Range UNIT F,"Charleston, SC 29401",1795000,2 br,"2 ba, 1 Half Bath",1664
1432 Water Edge,"Charleston, SC 29492",525000,4 br,"2 ba, 1 Half Bath",2192
3125 Mulan Lane,"Charleston, SC 29414",525000,3 br,"2 ba, 1 Half Bath",2480
316 Weeping Willow,"Charleston, SC 29414",369900,3 br,"2 ba, 1 Half Bath",1536
1829 Dogwood Road UNIT #504,"Charleston, SC 29414",279900,3 br,3 ba,1526
"90 Spring Street UNIT A,B","Charleston, SC 29403",3240000,9 br,"6 ba, 1 Half Bath",2728
415 Parkdale Drive UNIT 18b,"Charleston, SC 29414",239000,2 br,"1 ba, 1 Half Bat",868
71 Delahow Street,"Charleston, SC 29492",2800000,4 br,"4 ba, 1 Half Bath",3747
1854 Christian Road,"Charleston, SC 29407",549999,4 br,3 ba,2125
1687 Seabago Drive,"Charleston, SC 29414",539000,4 br,3 ba,2443
859 Hopewell Drive,"Charleston, SC 29492",627280,3 br,"2 ba, 1 Half Bath",1978
1248 Seton Place,"Charleston, SC 29407",1395000,4 br,"2 ba, 1 Half Bath",2879
2056 Marshland Drive,"Charleston, SC 29414",385000,3 br,2 ba,3000
2022 Sanders House Street,"Charleston, SC 29492",895247,4 br,"3 ba, 1 Half Bath",3029
1419 Agatha Street,"Charleston, SC 29407",249000,2 br,"1 ba, 1 Half Bath",1842
8010 Thelen Street,"Charleston, SC 29406",167000,2 br,1 ba,1132
995 Oakcrest Drive,"Charleston, SC 29412",419900,3 br,2 ba,1139
1525 Ashley Garden Boulevard,"Charleston, SC 29414",425000,4 br,2 ba,2053
146 Coming St UNIT A,"Charleston, SC 29403",575000,3 br,2 ba,1100
2 Trapman Street,"Charleston, SC 29401",1289000,3 br,"2 ba, 1 Half Bath",1919
47 E Bay Street,"Charleston, SC 29401",8600000,5 br,"5 ba, 2 Half Bath",7075
1225 Blakeway Street UNIT #1105,"Charleston, SC 29492",450000,3 br,2 ba,1277
93 E Bay Street,"Charleston, SC 29401",3475000,3 br,"3 ba, 1 Half Bath",2855
1054 Blue Marlin,"Charleston, SC 29412",545000,3 br,2 ba,1394
700 Daniel Ellis Drive UNIT #8302,"Charleston, SC 29412",325000,3 br,2 ba,1394
14 Charlton Lane,"Charleston, SC 29407",475000,3 br,2 ba,1969
732 Canary Drive,"Charleston, SC 29414",475000,4 br,3 ba,1869
622 Windermere Boulevard UNIT B,"Charleston, SC 29407",549000,3 br,3 ba,1720
600 Bucksley Lane UNIT #305,"Charleston, SC 29492",310000,1 br,1 b,759
1349 Coosaw Drive,"Charleston, SC 29407",325000,3 br,"1 ba, 1 Half Bath",1547
1840 Pierce Street,"Charleston, SC 29492",835000,3 br,"3 ba, 1 Half Bath",2160
482 Cessna Avenue,"Charleston, SC 29407",395000,3 br,2 ba,1377
1098 Honeysuckle Lane,"Charleston, SC 29412",565000,4 br,2 ba,1924
771 Bent Hickory,"Charleston, SC 29414",450000,4 br,"2 ba, 1 Half Bath",2240
1103 Euclid Drive,"Charleston, SC 29492",375000,3 br,"2 ba, 1 Half Bath",1545
14 N Tracy Street,"Charleston, SC 29403",795000,3 br,2 ba,1336
1619 Wigeon Lane,"Charleston, SC 29412",499900,3 br,2 ba,1456
1131 Marsh Harbor Lane,"Charleston, SC 29492",405000,3 br,2 ba,1443
91 Nassau Street UNIT A/B,"Charleston, SC 29403",515000,7 br,"6 ba, 1 Half Bath",3550
241 Howle Avenue UNIT A,"Charleston, SC 29412",349000,2 br,"2 ba, 1 Half Bath",1478
29 Race Street,"Charleston, SC 29403",1100000,2 br,1 ba,1339
2628 Augustus Street,"Charleston, SC 29492",1425000,5 br,"3 ba, 1 Half Bath",3444
256 W Poplar,"Charleston, SC 29403",615000,2 br,1 ba,1122
59 Iron Bottom,"Charleston, SC 29492",5300000,6 br,"6 ba, 2 Half Bath",8191
16 Morris Street,"Charleston, SC 29403",985000,4 br,2 ba,2160
28 Riverdale Drive,"Charleston, SC 29407",1350000,3 br,"2 ba, 1 Half Bath",2788
50 Hanover Street,"Charleston, SC 29403",850000,3 br,"3 ba, 1 Half Bath",2564
2445 Castlereagh Road,"Charleston, SC 29414",360000,3 br,2 ba,1357
517 King Street UNIT #13,"Charleston, SC 29403",750000,1 br,"1 ba, 1 Half Bath",1275
1406 Dove Run Drive UNIT A,"Charleston, SC 29412",210000,2 br,"1 ba, 1 Half Bat",992
252 Howle Avenue UNIT D1,"Charleston, SC 29412",314900,2 br,"1 ba, 1 Half Bath",1016
961 White Point,"Charleston, SC 29412",1090000,4 br,"3 ba, 1 Half Bath",3031
415 Parkdale Drive UNIT 6d,"Charleston, SC 29414",215000,2 br,"1 ba, 1 Half Bat",868
1412 Manor Blvd,"Charleston, SC 29407",445000,3 br,"2 ba, 1 Half Bath",1530
49 Archdale Street,"Charleston, SC 29401",3575000,5 br,2 ba,5650
27 Farmfield Avenue,"Charleston, SC 29407",1300000,5 br,"4 ba, 1 Half Bath",4314
191 Dorothy Drive,"Charleston, SC 29414",365000,3 br,"2 ba, 1 Half Bath",1484
85 Cumberland Street UNIT #5,"Charleston, SC 29401",519000,1 br,1 b,484
2522 Wayne Scott,"Charleston, SC 29414",355000,3 br,"2 ba, 1 Half Bath",1482
1761 Savage Road,"Charleston, SC 29407",364000,3 br,2 ba,1000
1469 Amanda Park Lane,"Charleston, SC 29412",360000,2 br,2 ba,1169
