,Address,Location,Price,Beds,Baths,Sqft
249,131 Simons Street,"Charleston, SC 29403","$1,050,000",3 br,"2 ba, 1 Half Bath",1675 Sqft
250,1039 Grand Concourse,"Charleston, SC 29412","$699,000Reduced  -$25,000 ",3 br,2 ba,2517 Sqft
251,201 Waning Way,"Charleston, SC 29492","$699,900",4 br,"2 ba, 1 Half Bath",2760 Sqft
252,1619 Westmoreland Avenue,"Charleston, SC 29412","$479,000",4 br,3 ba,1357 Sqft
253,2226 Brown Pelican,"Charleston, SC 29412","$849,900",3 br,"3 ba, 1 Half Bath",2320 Sqft
254,25 Cannon Street,"Charleston, SC 29403","$1,900,000Reduced  -$99,000 ",4 br,4 ba,1344 Sqft
255,1 Kracke Street,"Charleston, SC 29403","$864,900",2 br,2 ba,1020 Sqft
256,132 Queen Street UNIT A,"Charleston, SC 29401","$819,000",2 br,2 ba,1471 Sqft
257,1756 Combahee Street,"Charleston, SC 29412","$487,500Reduced  -$7,500 ",3 br,2 ba,1265 Sqft
258,773 Lake Frances,"Charleston, SC 29412","$599,900",3 br,"2 ba, 1 Half Bath",1539 Sqft
259,120 Clouter Creek,"Charleston, SC 29492","$634,999Reduced  -$10,000 ",4 br,"2 ba, 1 Half Bath",2037 Sqft
260,1157 Oakcrest Drive,"Charleston, SC 29412","$555,000",3 br,2 ba,1928 Sqft
261,827 Hemmingway Drive,"Charleston, SC 29414","$424,900",3 br,2 ba,1940 Sqft
262,130 River Landing Drive UNIT #2314,"Charleston, SC 29492","$295,000",1 br,1 b, 776 Sqft
263,530 Merrywood Drive,"Charleston, SC 29414","$479,900Reduced  -$5,000 ",4 br,"2 ba, 1 Half Bath",2190 Sqft
264,85 Cumberland Street UNIT #19,"Charleston, SC 29401","$560,000",1 br,1 b, 638 Sqft
265,2331 W Palmer Drive,"Charleston, SC 29414","$419,900Reduced  -$5,100 ",3 br,2 ba,1928 Sqft
266,1513 Secessionville Road,"Charleston, SC 29412","$295,000Increase  +$45,000 ",3 br,2 ba,1215 Sqft
267,669 Marina Drive UNIT P9,"Charleston, SC 29492","$65,000",n/a ,", n/a b", n/a Sqft
268,116 Rutledge Avenue UNIT A,"Charleston, SC 29401","$995,000",3 br,"2 ba, 1 Half Bath",1975 Sqft
269,57 Legare Street UNIT A,"Charleston, SC 29401","$950,000Reduced  -$25,000 ",2 br,"2 ba, 1 Half Bath",1469 Sqft
270,2123 Tides End,"Charleston, SC 29412","$679,500Reduced  -$20,499 ",3 br,"2 ba, 1 Half Bath",2178 Sqft
271,1860 Mepkin Road UNIT H4,"Charleston, SC 29407","$210,000",2 br,"1 ba, 1 Half Bath",1008 Sqft
272,1824 Grimball Road,"Charleston, SC 29412","$475,000",4 br,3 ba,2319 Sqft
273,510 Merrywood Drive,"Charleston, SC 29414","$485,000",6 br,3 ba,3078 Sqft
274,1307/1313 Fretwell Street,"Charleston, SC 29406","$412,500Reduced  -$2,500 ",2 br,1 ba,1100 Sqft
275,1570 Highland Avenue,"Charleston, SC 29412","$650,000Reduced  -$10,000 ",4 br,"2 ba, 1 Half Bath",2045 Sqft
276,2317 Ardeer Drive,"Charleston, SC 29414","$465,000Reduced  -$10,000 ",3 br,"2 ba, 1 Half Bath",2050 Sqft
277,2129 Barbour Drive,"Charleston, SC 29414","$375,000Reduced  -$20,000 ",4 br,2 ba,1477 Sqft
278,437 Riverland Drive,"Charleston, SC 29412","$435,000",2 br,1 ba,1248 Sqft
279,2244 Ashley Crossing Drive UNIT #138,"Charleston, SC 29414","$275,000",1 br,"1 ba, 1 Half Bat", 932 Sqft
280,173 Rutledge Avenue UNIT C,"Charleston, SC 29403","$415,000Reduced  -$14,900 ",3 br,"1 ba, 1 Half Bath",1158 Sqft
281,1709 Jessamine Road,"Charleston, SC 29407","$450,000",3 br,"2 ba, 1 Half Bath",1770 Sqft
282,2 Francis Street UNIT K,"Charleston, SC 29403","$369,000",1 br,1 b, 748 Sqft
283,7004 Windmill Creek,"Charleston, SC 29414","$460,000",4 br,"2 ba, 1 Half Bath",2100 Sqft
284,867 Colony Dr UNIT F-82,"Charleston, SC 29407","$175,000",1 br,1 b, 576 Sqft
285,"78 Spring Street UNIT B, C, & D","Charleston, SC 29403","$2,995,000",7 br,7 ba,3469 Sqft
286,206 Pine Terrace,"Charleston, SC 29414","$405,000",4 br,2 ba,1973 Sqft
287,3168 Stanyarne Drive,"Charleston, SC 29414","$595,000Reduced  -$55,000 ",3 br,"2 ba, 1 Half Bath",3500 Sqft
288,306 S Ladd Court,"Charleston, SC 29492","$1,135,000Reduced  -$2,000 ",3 br,"3 ba, 2 Half Bath",2774 Sqft
289,758 Bent Hickory,"Charleston, SC 29414","$470,000",4 br,"2 ba, 1 Half Bath",2000 Sqft
290,1578 Charming Nancy,"Charleston, SC 29412","$1,395,900",4 br,"3 ba, 1 Half Bath",2620 Sqft
291,15 Broad Street,"Charleston, SC 29401","$3,200,000",n/a ,", n/a ba",7024 Sqft
292,1512 Seacroft Road,"Charleston, SC 29412","$265,000Reduced  -$5,000 ",3 br,1 b, 999 Sqft
293,1061 Greenhill Road,"Charleston, SC 29412","$240,000",4 br,2 ba,1665 Sqft
294,1720 Houghton Drive,"Charleston, SC 29412","$675,000Reduced  -$14,900 ",5 br,2 ba,2200 Sqft
295,1813 Grovehurst Drive,"Charleston, SC 29414","$535,000",4 br,"2 ba, 1 Half Bath",2427 Sqft
296,826 Rue Drive,"Charleston, SC 29414","$420,000Reduced  -$10,000 ",3 br,"3 ba, 1 Half Bath",2057 Sqft
297,425 Shadowmoss Parkway,"Charleston, SC 29414","$759,900Reduced  -$15,000 ",3 br,"3 ba, 1 Half Bath",2980 Sqft
298,1543 Creek Side,"Charleston, SC 29492","$1,250,000Reduced  -$45,000 ",5 br,"3 ba, 1 Half Bath",2900 Sqft
299,3 Avon Court,"Charleston, SC 29407","$499,000Reduced  -$1,000 ",4 br,"2 ba, 1 Half Bath",2518 Sqft
300,63 Society Street,"Charleston, SC 29401","$4,595,000",6 br,"6 ba, 1 Half Bath",6640 Sqft
301,428 Amalie Farms,"Charleston, SC 29492","$835,000",3 br,"2 ba, 1 Half Bath",2808 Sqft
302,73 Congress Street,"Charleston, SC 29403","$539,900Reduced  -$20,000 ",2 br,1 b, 950 Sqft
303,943 Carmel Drive,"Charleston, SC 29412","$849,000Reduced  -$86,000 ",4 br,"2 ba, 1 Half Bath",2456 Sqft
304,2362 Parsonage Road UNIT 4c,"Charleston, SC 29414","$195,000Reduced  -$5,000 ",2 br,"1 ba, 1 Half Bat", 918 Sqft
305,125 Pier View Street UNIT #105,"Charleston, SC 29492","$419,900Reduced  -$25,100 ",2 br,2 ba,1167 Sqft
306,1748 Somerset Circle,"Charleston, SC 29407","$899,900",5 br,4 ba,3515 Sqft
307,734 Ponderosa Drive,"Charleston, SC 29414","$430,000Reduced  -$10,000 ",6 br,4 ba,2407 Sqft
308,2 Francis Street UNIT E,"Charleston, SC 29403","$335,000",1 br,"1 ba, 1 Half Bat", 682 Sqft
309,1473 Woodview Lane,"Charleston, SC 29412","$385,000",4 br,2 ba,1353 Sqft
310,186 Sans Souci Street,"Charleston, SC 29403","$795,000Reduced  -$20,000 ",4 br,2 ba,2081 Sqft
311,1627 Dickens Street,"Charleston, SC 29407","$495,000Reduced  -$30,000 ",4 br,2 ba,1625 Sqft
312,150 Bee Street UNIT #802,"Charleston, SC 29401","$875,000",2 br,"2 ba, 1 Half Bath",1609 Sqft
313,52 Aiken Street,"Charleston, SC 29403","$295,000",4 br,2 ba,1626 Sqft
314,22-3/4 Pitt Street,"Charleston, SC 29401","$1,125,000Reduced  -$25,000 ",3 br,3 ba,1803 Sqft
315,121 Low Tide,"Charleston, SC 29492","$759,000Reduced  -$20,900 ",5 br,"3 ba, 1 Half Bath",2616 Sqft
316,2227 Weepoolow Trail,"Charleston, SC 29407","$1,240,000",5 br,"4 ba, 2 Half Bath",4605 Sqft
317,735 Ponderosa Drive,"Charleston, SC 29414","$389,900",3 br,"2 ba, 1 Half Bath",1807 Sqft
318,2085 Shrimp Street,"Charleston, SC 29412","$749,990Reduced  -$50,000 ",3 br,"1 ba, 1 Half Bath",1116 Sqft
319,154 Mary Ellen,"Charleston, SC 29403","$1,999,999Reduced  -$100,001 ",4 br,"3 ba, 1 Half Bath",4097 Sqft
320,180 Mary Ellen,"Charleston, SC 29403","$2,890,000",5 br,"4 ba, 1 Half Bath",3428 Sqft
321,6 Radcliffe Place,"Charleston, SC 29403","$995,000Reduced  -$500 ",3 br,"2 ba, 1 Half Bath",1608 Sqft
322,1378 Tara Road,"Charleston, SC 29407","$429,000Reduced  -$10,000 ",4 br,3 ba,1924 Sqft
323,1908 2nd Drive,"Charleston, SC 29407","$449,000Reduced  -$46,000 ",3 br,2 ba,1529 Sqft
324,2345 Tall Sail Dr Apt G Drive UNIT #107,"Charleston, SC 29414","$550,000",2 br,2 ba,1100 Sqft
325,2125 S Dallerton Circle,"Charleston, SC 29414","$415,000Reduced  -$10,000 ",4 br,3 ba,1841 Sqft
326,1913 Cypress Branch,"Charleston, SC 29414","$595,000",5 br,"2 ba, 1 Half Bath",2650 Sqft
327,2796 Jobee Drive,"Charleston, SC 29414","$375,000",3 br,2 ba,2088 Sqft
328,8 Queen Street,"Charleston, SC 29401","$2,495,000",4 br,"2 ba, 1 Half Bath",3276 Sqft
329,1609 Holton Place,"Charleston, SC 29407","$567,500Reduced  -$7,500 ",3 br,2 ba,1910 Sqft
330,169 King Street UNIT #302,"Charleston, SC 29401","$995,000Reduced  -$94,000 ",2 br,"2 ba, 1 Half Bath",1378 Sqft
331,1232 Winchester Drive,"Charleston, SC 29407","$675,000Reduced  -$24,000 ",5 br,3 ba,2654 Sqft
332,847 Whispering Marsh Dr,"Charleston, SC 29412","$2,199,000",4 br,"3 ba, 2 Half Bath",3624 Sqft
333,1061 Bennington Drive,"Charleston, SC 29492","$355,000Reduced  -$2,000 ",3 br,"2 ba, 1 Half Bath",1694 Sqft
334,5 Gadsdenboro Street UNIT #406,"Charleston, SC 29401","$530,000",1 br,1 b, 753 Sqft
335,1110 King Street,"Charleston, SC 29403","$720,000Reduced  -$5,000 ",3 br,2 ba,1492 Sqft
336,2125 Edisto Avenue,"Charleston, SC 29412","$645,000Reduced  -$25,000 ",3 br,3 ba,2183 Sqft
337,412 Woodland Shores,"Charleston, SC 29412","$638,000Reduced  -$1,000 ",3 br,"2 ba, 1 Half Bath",2043 Sqft
338,83 East Bay,"Charleston, SC 29401","$4,499,000",3 br,"2 ba, 2 Half Bath",4788 Sqft
339,46 Poplar Street,"Charleston, SC 29403","$650,000Reduced  -$35,000 ",2 br,2 ba,1236 Sqft
340,1755 Central Park Road UNIT #5208,"Charleston, SC 29412","$280,000Reduced  -$5,000 ",2 br,2 b, 990 Sqft
341,31 Archdale Street UNIT B,"Charleston, SC 29401","$1,100,000",2 br,"2 ba, 1 Half Bath",1152 Sqft
342,1767 Pierce Street,"Charleston, SC 29492","$1,650,000Reduced  -$45,000 ",5 br,"4 ba, 1 Half Bath",3722 Sqft
343,280 Seven Farms Drive UNIT #303,"Charleston, SC 29492","$425,000",2 br,2 ba,1225 Sqft
344,12 1/2 Gadsden Street,"Charleston, SC 29401","$950,000Reduced  -$25,000 ",3 br,3 ba,1718 Sqft
345,1552 Clark Sound,"Charleston, SC 29412","$559,500Reduced  -$35,500 ",4 br,3 ba,1853 Sqft
346,1426 Stowe Mountain,"Charleston, SC 29412","$1,650,000",5 br,5 ba,4128 Sqft
347,849 Hopewell Drive,"Charleston, SC 29492","$623,613Reduced  -$7,000 ",3 br,"2 ba, 1 Half Bath",1978 Sqft
348,1625 Mulberry Street,"Charleston, SC 29407","$305,000Reduced  -$10,000 ",2 br,1 ba,1160 Sqft
349,2889 Rutherford Way,"Charleston, SC 29414","$620,000Reduced  -$30,000 ",4 br,"3 ba, 1 Half Bath",2572 Sqft
350,21 Cleveland Street,"Charleston, SC 29403","$895,000Reduced  -$5,000 ",3 br,"2 ba, 1 Half Bath",1968 Sqft
351,1734 Combahee Street,"Charleston, SC 29412","$599,000Reduced  -$26,000 ",5 br,2 ba,2418 Sqft
352,9 Wendy Lane,"Charleston, SC 29407","$525,000",3 br,2 ba,1468 Sqft
353,2213 Generals Street,"Charleston, SC 29492","$831,875Reduced  -$30,000 ",4 br,3 ba,2881 Sqft
354,3519 Matisse Street,"Charleston, SC 29492","$824,916Reduced  -$30,000 ",4 br,3 ba,2618 Sqft
355,1005 Bidwell Circle,"Charleston, SC 29414","$400,000Reduced  -$25,000 ",4 br,3 ba,2233 Sqft
356,502 Woodland Shores,"Charleston, SC 29412","$499,000",3 br,2 ba,1981 Sqft
357,2436 Havana Street,"Charleston, SC 29492","$759,736Reduced  -$50,343 ",4 br,"3 ba, 1 Half Bath",2620 Sqft
358,2428 Havana Street,"Charleston, SC 29492","$688,038Reduced  -$50,000 ",4 br,3 ba,2435 Sqft
359,2060 Sanders House Street,"Charleston, SC 29492","$745,793Reduced  -$30,267 ",3 br,"2 ba, 1 Half Bath",1978 Sqft
360,3 Cochran Court,"Charleston, SC 29407","$3,799,000Reduced  -$51,000 ",4 br,"4 ba, 2 Half Bath",5064 Sqft
361,847 Hopewell Drive,"Charleston, SC 29492","$635,002Reduced  -$13,225 ",3 br,"2 ba, 1 Half Bath",2249 Sqft
362,40 Poinsett Street,"Charleston, SC 29403","$825,000Reduced  -$24,000 ",4 br,3 ba,2030 Sqft
363,1222 Wando Shores,"Charleston, SC 29492","$449,800Reduced  -$10,200 ",3 br,2 ba,1575 Sqft
364,21 Rivers Point Row UNIT 3c,"Charleston, SC 29412","$245,000Reduced  -$4,999 ",2 br,"1 ba, 1 Half Bath",1050 Sqft
365,172 Saint Philip Street UNIT E,"Charleston, SC 29403","$1,189,900",3 br,2 b, 800 Sqft
366,1050 Woodside Drive,"Charleston, SC 29412","$484,000",3 br,2 ba,1366 Sqft
367,2632 Morning Dove,"Charleston, SC 29414","$398,500Reduced  -$1,500 ",3 br,"2 ba, 1 Half Bath",1694 Sqft
368,1759 Waterbrook Drive,"Charleston, SC 29414","$795,000",5 br,"4 ba, 1 Half Bath",3273 Sqft
369,2816 Dresser Court,"Charleston, SC 29414","$679,000Reduced  -$10,000 ",4 br,"3 ba, 1 Half Bath",2908 Sqft
370,2714 Rutherford Way,"Charleston, SC 29414","$614,900Reduced  -$57,600 ",4 br,"3 ba, 1 Half Bath",2572 Sqft
371,3172 Safe Harbor,"Charleston, SC 29414","$495,470Reduced  -$120 ",4 br,"2 ba, 1 Half Bath",2315 Sqft
372,306 Pickering Lane,"Charleston, SC 29414","$288,000",3 br,2 ba,1320 Sqft
373,1427 Emerald Forest Parkway,"Charleston, SC 29414","$449,000Reduced  -$8,000 ",4 br,3 ba,2053 Sqft
374,110 King Street,"Charleston, SC 29401","$2,375,000Reduced  -$50,000 ",5 br,"4 ba, 1 Half Bath",3175 Sqft
375,8047 Gibbon Street,"Charleston, SC 29492","$1,249,900",5 br,"4 ba, 1 Half Bath",2960 Sqft
376,3 1/2 Kracke Street UNIT B,"Charleston, SC 29403","$349,500",2 br,1 b, 802 Sqft
377,985 Hunt Club Run,"Charleston, SC 29414","$725,000Reduced  -$25,000 ",4 br,"2 ba, 1 Half Bath",3015 Sqft
378,1215 Kensington Drive,"Charleston, SC 29407","$695,000Reduced  -$5,000 ",4 br,"3 ba, 1 Half Bath",2766 Sqft
379,3177 Safe Harbor,"Charleston, SC 29414","$496,710Increase  +$395 ",4 br,2 ba,1955 Sqft
380,61 Oak Bluff,"Charleston, SC 29492","$587,140Increase  +$27,150 ",3 br,"2 ba, 1 Half Bath",2051 Sqft
381,21 Burns Lane,"Charleston, SC 29401","$2,995,000",1 br,"2 ba, 1 Half Bath",3931 Sqft
382,488 Saint Andrews,"Charleston, SC 29407","$320,000",3 br,2 ba,1492 Sqft
383,954 Battery Avenue,"Charleston, SC 29407","$250,000",3 br,2 ba,1395 Sqft
384,1 King Street UNIT #408,"Charleston, SC 29401","$1,190,000",2 br,2 ba,1193 Sqft
385,71 Pitt Street,"Charleston, SC 29403","$3,200,000",5 br,"4 ba, 1 Half Bath",4186 Sqft
386,303 Stono Drive,"Charleston, SC 29412","$3,675,000Reduced  -$320,000 ",4 br,3 ba,3238 Sqft
387,847 Melrose Drive,"Charleston, SC 29414","$470,000Reduced  -$15,000 ",4 br,2 ba,2250 Sqft
388,62 Oak Bluff,"Charleston, SC 29492","$584,921Increase  +$31,931 ",4 br,"3 ba, 1 Half Bath",2274 Sqft
389,2745 Jobee Drive UNIT #205,"Charleston, SC 29414","$194,000Reduced  -$6,000 ",2 br,1 b, 925 Sqft
390,1466 Eutaw Battalion Drive,"Charleston, SC 29412","$849,000Reduced  -$40,000 ",3 br,"2 ba, 1 Half Bath",1712 Sqft
391,213 Amberjack Lane,"Charleston, SC 29492","$1,975,000",5 br,"5 ba, 1 Half Bath",3533 Sqft
392,1533 Joan Street,"Charleston, SC 29407","$349,500Reduced  -$5,500 ",3 br,1 ba,1191 Sqft
393,21 Charlyn Drive,"Charleston, SC 29407","$669,900",4 br,4 ba,3050 Sqft
394,12 Simons Street,"Charleston, SC 29403","$870,000Reduced  -$25,000 ",3 br,"2 ba, 1 Half Bath",1697 Sqft
395,191 River Breeze Drive UNIT #7,"Charleston, SC 29407","$315,000Reduced  -$15,000 ",3 br,2 ba,1400 Sqft
396,294 Congress Street,"Charleston, SC 29403","$1,345,000",3 br,"2 ba, 1 Half Bath",2326 Sqft
397,1829 Dogwood Road UNIT #303,"Charleston, SC 29414","$269,900Reduced  -$5,100 ",3 br,3 ba,1432 Sqft
398,150 Bee Street UNIT #602,"Charleston, SC 29401","$583,000Reduced  -$2,000 ",2 br,"2 ba, 1 Half Bath",1609 Sqft
399,1579 Wabeek Way,"Charleston, SC 29414","$465,000Reduced  -$10,000 ",3 br,"2 ba, 1 Half Bath",2020 Sqft
400,414 Woodland Shores,"Charleston, SC 29412","$639,000Reduced  -$6,000 ",3 br,"2 ba, 1 Half Bath",2012 Sqft
401,318 Hollywood Drive,"Charleston, SC 29407","$575,000Reduced  -$24,900 ",3 br,2 ba,1536 Sqft
402,130 River Landing Drive UNIT #7118,"Charleston, SC 29492","$485,000",2 br,2 ba,1094 Sqft
403,804 Waxwood Lane,"Charleston, SC 29412","$931,140",4 br,2 ba,2871 Sqft
404,808 Waxwood Lane,"Charleston, SC 29412","$844,542",5 br,"2 ba, 1 Half Bath",2759 Sqft
405,1303 Palm Cove,"Charleston, SC 29492","$459,900Reduced  -$10,000 ",3 br,2 ba,1494 Sqft
406,4 Oak Bluff,"Charleston, SC 29492","$531,990",3 br,"2 ba, 1 Half Bath",2051 Sqft
407,78 Oak Bluff,"Charleston, SC 29492","$597,350Increase  +$37,360 ",4 br,"3 ba, 1 Half Bath",2688 Sqft
408,54 Church Street UNIT A & B,"Charleston, SC 29401","$2,300,000",5 br,"4 ba, 1 Half Bath",4542 Sqft
409,1613 Amberly Road,"Charleston, SC 29407","$655,000Reduced  -$10,000 ",6 br,3 ba,2624 Sqft
410,1653 Folly Creek Way UNIT E-4,"Charleston, SC 29412","$1,100,000",3 br,3 ba,1917 Sqft
411,527 Rutledge Avenue UNIT A+B,"Charleston, SC 29403","$849,900",4 br,4 ba,1900 Sqft
412,232 Congress Street,"Charleston, SC 29403","$1,499,000Reduced  -$26,000 ",4 br,"3 ba, 1 Half Bath",2769 Sqft
413,8082 Old Hazelwood,"Charleston, SC 29406","$305,000Reduced  -$5,000 ",3 br,"2 ba, 1 Half Bath",1896 Sqft
414,1530 Fort Johnson Road UNIT 2j,"Charleston, SC 29412","$255,000",2 br,"1 ba, 1 Half Bath",1160 Sqft
415,2 Wharfside Street UNIT 5w,"Charleston, SC 29401","$3,775,000",2 br,"2 ba, 1 Half Bath",2862 Sqft
416,14 Lockwood Drive UNIT 7 E,"Charleston, SC 29401","$450,000",2 br,"1 ba, 1 Half Bath",1061 Sqft
417,1034 Bradbury Lane,"Charleston, SC 29492","$1,244,990",4 br,"3 ba, 1 Half Bath",3173 Sqft
418,564 Hainesworth Drive,"Charleston, SC 29414","$380,000",3 br,2 ba,1321 Sqft
419,151 Queen Street,"Charleston, SC 29401","$4,350,000Reduced  -$345,000 ",5 br,"3 ba, 1 Half Bath",3770 Sqft
420,1631 Telfair Way,"Charleston, SC 29412","$340,000Reduced  -$10,000 ",2 br,2 ba,1074 Sqft
421,1369 White Drive,"Charleston, SC 29407","$575,000Reduced  -$20,000 ",4 br,2 ba,1591 Sqft
422,2916 Marginal Road,"Charleston, SC 29414","$338,000Reduced  -$10,000 ",4 br,2 ba,1430 Sqft
423,1815 Dogwood Road UNIT #804,"Charleston, SC 29414","$299,900Reduced  -$9,100 ",3 br,3 ba,1430 Sqft
424,2231 Hunter Creek,"Charleston, SC 29414","$559,000Reduced  -$16,000 ",4 br,"2 ba, 1 Half Bath",2340 Sqft
425,1052 Teracotta Drive UNIT Lot 20,"Charleston, SC 29407","$1,195,000",4 br,"3 ba, 1 Half Bath",2809 Sqft
426,2016 Ironstone Alley UNIT Lot 44,"Charleston, SC 29407","$1,149,000",4 br,"3 ba, 1 Half Bath",2809 Sqft
427,3004 Amethyst Aly Alley UNIT Lot 14,"Charleston, SC 29407","$1,191,500",4 br,"3 ba, 1 Half Bath",2809 Sqft
428,3008 Amethyst Aly Alley UNIT Lot 13,"Charleston, SC 29407","$1,153,500",4 br,"3 ba, 1 Half Bath",2523 Sqft
429,11 Allway Street UNIT B,"Charleston, SC 29403","$315,000",3 br,2 ba,1509 Sqft
430,162 Beresford Creek,"Charleston, SC 29492","$2,999,999Reduced  -$250,001 ",3 br,"2 ba, 1 Half Bath",2566 Sqft
431,1519 Mitchell Wharf,"Charleston, SC 29492","$949,900Reduced  -$45,100 ",3 br,"2 ba, 1 Half Bath",1699 Sqft
432,1555 Scott Hill,"Charleston, SC 29412","$450,000Reduced  -$50,000 ",3 br,"1 ba, 1 Half Bath",1869 Sqft
433,710 Harbor View,"Charleston, SC 29412","$370,000Reduced  -$20,000 ",3 br,2 ba,1732 Sqft
434,1637 Oak Leaf,"Charleston, SC 29492","$1,450,000Reduced  -$45,000 ",5 br,"4 ba, 1 Half Bath",3367 Sqft
435,1849 Gammon Street,"Charleston, SC 29414","$529,999Reduced  -$5,001 ",3 br,"2 ba, 1 Half Bath",2429 Sqft
436,1756 W Sandcroft Drive,"Charleston, SC 29407","$479,990Reduced  -$5,000 ",3 br,2 ba,1783 Sqft
437,415 Katies Scenic,"Charleston, SC 29492","$558,990Reduced  -$27,000 ",3 br,"3 ba, 1 Half Bath",2452 Sqft
438,413 Katies Scenic,"Charleston, SC 29492","$491,990Reduced  -$23,000 ",3 br,"3 ba, 1 Half Bath",2159 Sqft
439,411 Katies Scenic,"Charleston, SC 29492","$543,990Reduced  -$26,000 ",3 br,"3 ba, 1 Half Bath",2452 Sqft
440,409 Katies Scenic,"Charleston, SC 29492","$495,990Reduced  -$24,000 ",3 br,"3 ba, 1 Half Bath",2159 Sqft
