,Address,Location,Price,Beds,Baths,Sqft
58,163 Grove Street,"Charleston, SC 29403","$1,250,000",4 br,2 ba,2195 Sqft
59,1126 Carverwood Ln,"Charleston, SC 29407","$269,900",3 br,"1 ba, 1 Half Bath",1000 Sqft
60,65 Cypress Street,"Charleston, SC 29403","$575,000",3 br,1 ba,1404 Sqft
61,1134 Quick Rabbit,"Charleston, SC 29414","$499,000",4 br,"2 ba, 1 Half Bath",2135 Sqft
62,75 Morris Street,"Charleston, SC 29403","$799,000",2 br,2 ba,1387 Sqft
63,9 Hill Creek,"Charleston, SC 29412","$545,000",3 br,2 ba,1548 Sqft
64,2020 Piper Drive,"Charleston, SC 29407","$650,000Reduced  -$99,000 ",4 br,2 ba,2046 Sqft
65,700 Daniel Ellis Drive UNIT #10206,"Charleston, SC 29412","$185,000",1 br,1 b, 691 Sqft
66,100 Deerfield Drive UNIT #301,"Charleston, SC 29414","$549,900",3 br,3 ba,1861 Sqft
67,349 Culver,"Charleston, SC 29407","$425,000",3 br,2 ba,2179 Sqft
68,522 Risher Street,"Charleston, SC 29407","$400,000",3 br,2 ba,1458 Sqft
69,2432 Quail Hollow,"Charleston, SC 29414","$235,000",2 br,"1 ba, 1 Half Bath",1150 Sqft
70,7144 Windmill Creek Road,"Charleston, SC 29414","$410,300Reduced  -$3,600 ",4 br,"2 ba, 1 Half Bath",1955 Sqft
71,65 Maple Street,"Charleston, SC 29403","$1,150,000",4 br,3 ba,2275 Sqft
72,140 Tradd Street,"Charleston, SC 29401","$2,495,000",4 br,"3 ba, 1 Half Bath",3222 Sqft
73,600 Bucksley Lane UNIT #308,"Charleston, SC 29492","$400,000",2 br,2 ba,1190 Sqft
74,252 Gazania Way,"Charleston, SC 29414","$475,000Reduced  -$24,000 ",3 br,"2 ba, 1 Half Bath",2368 Sqft
75,1199 Landsdowne Drive,"Charleston, SC 29412","$469,900",3 br,2 ba,1290 Sqft
76,1854 Ashley Hall,"Charleston, SC 29407","$550,000",4 br,2 ba,1618 Sqft
77,191 W Poplar Street,"Charleston, SC 29403","$700,000",4 br,4 ba,2800 Sqft
78,335 Parkdale Drive,"Charleston, SC 29414","$535,000",3 br,3 ba,1749 Sqft
